sub-region,Happiness.Rank,Happiness.Score,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Family,Health..Life.Expectancy.,Freedom,Generosity,Trust..Government.Corruption.,Dystopia.Residual,country-code,region-code,sub-region-code,intermediate-region-code
Australia and New Zealand,9.0,7.299000024795535,7.36808083340526,7.2299192161858095,1.44506049156189,1.529118537902835,0.830323249101639,0.607834756374359,0.4888521879911425,0.3420002162456515,2.05583357810974,295.0,9.0,53.0,
Central Asia,47.0,5.97100019454956,6.06553757295012,5.876462816149,0.786441087722778,1.5489691495895401,0.498272627592087,0.6582486629486078,0.41598364710807795,0.246528223156929,1.8169136047363301,860.0,142.0,143.0,
Eastern Asia,33.0,6.42199993133545,6.49459602192044,6.349403840750459,1.4336265325546298,1.38456535339355,0.793984234333038,0.361466586589813,0.258360475301743,0.0638292357325554,2.1266074180603,158.0,142.0,30.0,
Eastern Europe,39.5,6.160750031471251,6.236348530873655,6.085151532068853,1.312910467386245,1.463484704494475,0.6785003989934922,0.42022221535444276,0.10884525720030065,0.038338616490364075,2.1382421851158173,541.25,150.0,151.0,
Latin America and the Caribbean,31.857142857142858,6.390428577150617,6.506845663498557,6.274011490802679,1.079963650022235,1.3173851711409426,0.6475874334573745,0.48866354993411465,0.20339903874056683,0.0946634735113808,2.5587357963834494,338.07142857142856,19.0,419.0,10.714285714285714
Northern America,10.5,7.154500007629395,7.22952979147434,7.079470223784445,1.512731850147245,1.4506347775459252,0.80442214012146,0.558420717716217,0.41405925154685996,0.211505152285099,2.202688932418825,482.0,19.0,21.0,
Northern Europe,7.714285714285714,7.286714349474226,7.3567119629042494,7.216716736044204,1.4992541415350786,1.5383313213075913,0.8111336486680167,0.6001096112387518,0.3920496361596245,0.3144409933260509,2.1313116209847585,476.2857142857143,150.0,154.0,
South-eastern Asia,33.333333333333336,6.359999974568684,6.4419398537774875,6.27806009535988,1.3704539537429834,1.354750951131183,0.7385052839914957,0.5107687612374623,0.4448993404706317,0.1871737428009511,1.7534397443135596,641.3333333333334,142.0,35.0,
Southern Europe,36.333333333333336,6.298000017801923,6.37072950805227,6.225270527551572,1.3742481072743733,1.48847528298696,0.8546830614407858,0.41799966494242363,0.31255126496156066,0.08400275247792416,1.76597754160563,524.6666666666666,150.0,39.0,
Western Asia,30.666666666666668,6.461999893188479,6.5642483405520515,6.359751445824904,1.587413291136425,1.2977473139762883,0.6917812327543893,0.5168833235899607,0.2616787950197853,0.26577748234073323,1.8406549294789614,489.6666666666667,142.0,145.0,
Western Europe,15.0,7.003428527287075,7.0657891851131405,6.941067869461008,1.5257989508765102,1.4551413570131568,0.8272505402565004,0.563193338257926,0.29403246087687357,0.2700201996735164,2.0679248401096872,335.42857142857144,150.0,155.0,
