Top 50 Happy Countries,,2017,
Country Name,Indicator Name,Indicator Code,Population
Norway,"Population, total",SP.POP.TOTL,5276968
Denmark,"Population, total",SP.POP.TOTL,5764980
Iceland,"Population, total",SP.POP.TOTL,343400
Switzerland,"Population, total",SP.POP.TOTL,8451840
Finland,"Population, total",SP.POP.TOTL,5508214
Netherlands,"Population, total",SP.POP.TOTL,17131296
Canada,"Population, total",SP.POP.TOTL,36543321
New Zealand,"Population, total",SP.POP.TOTL,4793900
Sweden,"Population, total",SP.POP.TOTL,10057698
Australia,"Population, total",SP.POP.TOTL,24601860
Israel,"Population, total",SP.POP.TOTL,8713300
Costa Rica,"Population, total",SP.POP.TOTL,4949954
Austria,"Population, total",SP.POP.TOTL,8797566
United States,"Population, total",SP.POP.TOTL,324985539
Ireland,"Population, total",SP.POP.TOTL,4807388
Germany,"Population, total",SP.POP.TOTL,82657002
Belgium,"Population, total",SP.POP.TOTL,11375158
Luxembourg,"Population, total",SP.POP.TOTL,596336
United Kingdom,"Population, total",SP.POP.TOTL,66058859
Chile,"Population, total",SP.POP.TOTL,18470439
United Arab Emirates,"Population, total",SP.POP.TOTL,9487203
Brazil,"Population, total",SP.POP.TOTL,207833831
Czech Republic,"Population, total",SP.POP.TOTL,10594438
Argentina,"Population, total",SP.POP.TOTL,44044811
Mexico,"Population, total",SP.POP.TOTL,124777324
Singapore,"Population, total",SP.POP.TOTL,5612253
Malta,"Population, total",SP.POP.TOTL,467999
Uruguay,"Population, total",SP.POP.TOTL,3436646
Guatemala,"Population, total",SP.POP.TOTL,16087418
Panama,"Population, total",SP.POP.TOTL,4106771
France,"Population, total",SP.POP.TOTL,66864379
Thailand,"Population, total",SP.POP.TOTL,69209858
Taiwan Province of China,"Population, total",SP.POP.TOTL,23780000
Spain,"Population, total",SP.POP.TOTL,46593236
Qatar,"Population, total",SP.POP.TOTL,2724724
Colombia,"Population, total",SP.POP.TOTL,48901066
Saudi Arabia,"Population, total",SP.POP.TOTL,33099147
Trinidad and Tobago,"Population, total",SP.POP.TOTL,1384072
Kuwait,"Population, total",SP.POP.TOTL,4056099
Slovakia,"Population, total",SP.POP.TOTL,54580000
Bahrain,"Population, total",SP.POP.TOTL,1494074
Malaysia,"Population, total",SP.POP.TOTL,31105028
Nicaragua,"Population, total",SP.POP.TOTL,6384855
Ecuador,"Population, total",SP.POP.TOTL,16785361
El Salvador,"Population, total",SP.POP.TOTL,6388122
Poland,"Population, total",SP.POP.TOTL,37974826
Uzbekistan,"Population, total",SP.POP.TOTL,32388600
Italy,"Population, total",SP.POP.TOTL,60536709
Russa,"Population, total",SP.POP.TOTL,144496740
Belize,"Population, total",SP.POP.TOTL,383071
