Country Name,Rank,Indicator Name,Population
Norway,1,"Population, total",5276968
Denmark,2,"Population, total",5764980
Iceland,3,"Population, total",343400
Switzerland,4,"Population, total",8451840
Finland,5,"Population, total",5508214
Netherlands,6,"Population, total",17131296
Canada,7,"Population, total",36543321
New Zealand,8,"Population, total",4793900
Sweden,9,"Population, total",10057698
Australia,10,"Population, total",24601860
Israel,11,"Population, total",8713300
Costa Rica,12,"Population, total",4949954
Austria,13,"Population, total",8797566
United States,14,"Population, total",324985539
Ireland,15,"Population, total",4807388
Germany,16,"Population, total",82657002
Belgium,17,"Population, total",11375158
Luxembourg,18,"Population, total",596336
United Kingdom,19,"Population, total",66058859
Chile,20,"Population, total",18470439
United Arab Emirates,21,"Population, total",9487203
Brazil,22,"Population, total",207833831
Czech Republic,23,"Population, total",10594438
Argentina,24,"Population, total",44044811
Mexico,25,"Population, total",124777324
Singapore,26,"Population, total",5612253
Malta,27,"Population, total",467999
Uruguay,28,"Population, total",3436646
Guatemala,29,"Population, total",16087418
Panama,30,"Population, total",4106771
France,31,"Population, total",66864379
Thailand,32,"Population, total",69209858
Taiwan Province of China,33,"Population, total",23780000
Spain,34,"Population, total",46593236
Qatar,35,"Population, total",2724724
Colombia,36,"Population, total",48901066
Saudi Arabia,37,"Population, total",33099147
Trinidad and Tobago,38,"Population, total",1384072
Kuwait,39,"Population, total",4056099
Slovakia,40,"Population, total",54580000
Bahrain,41,"Population, total",1494074
Malaysia,42,"Population, total",31105028
Nicaragua,43,"Population, total",6384855
Ecuador,44,"Population, total",16785361
El Salvador,45,"Population, total",6388122
Poland,46,"Population, total",37974826
Uzbekistan,47,"Population, total",32388600
Italy,48,"Population, total",60536709
Russa,49,"Population, total",144496740
Belize,50,"Population, total",383071
