Data Source,World Development Indicators,,,
,,,,
Last Updated Date,7/1/20,,,
,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2017
Aruba,ABW,"Population, total",SP.POP.TOTL,105366
Afghanistan,AFG,"Population, total",SP.POP.TOTL,36296400
Angola,AGO,"Population, total",SP.POP.TOTL,29816748
Albania,ALB,"Population, total",SP.POP.TOTL,2873457
Andorra,AND,"Population, total",SP.POP.TOTL,77001
Arab World,ARB,"Population, total",SP.POP.TOTL,411898967
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9487203
Argentina,ARG,"Population, total",SP.POP.TOTL,44044811
Armenia,ARM,"Population, total",SP.POP.TOTL,2944809
American Samoa,ASM,"Population, total",SP.POP.TOTL,55620
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,95426
Australia,AUS,"Population, total",SP.POP.TOTL,24601860
Austria,AUT,"Population, total",SP.POP.TOTL,8797566
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9854033
Burundi,BDI,"Population, total",SP.POP.TOTL,10827024
Belgium,BEL,"Population, total",SP.POP.TOTL,11375158
Benin,BEN,"Population, total",SP.POP.TOTL,11175204
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,19193284
Bangladesh,BGD,"Population, total",SP.POP.TOTL,159670593
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7075947
Bahrain,BHR,"Population, total",SP.POP.TOTL,1494074
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,381761
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3351527
Belarus,BLR,"Population, total",SP.POP.TOTL,9498264
Belize,BLZ,"Population, total",SP.POP.TOTL,375769
Bermuda,BMU,"Population, total",SP.POP.TOTL,63873
Bolivia,BOL,"Population, total",SP.POP.TOTL,11192854
Brazil,BRA,"Population, total",SP.POP.TOTL,207833831
Barbados,BRB,"Population, total",SP.POP.TOTL,286233
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,424473
Bhutan,BTN,"Population, total",SP.POP.TOTL,745568
Botswana,BWA,"Population, total",SP.POP.TOTL,2205128
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4596028
Canada,CAN,"Population, total",SP.POP.TOTL,36543321
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,102738653
Switzerland,CHE,"Population, total",SP.POP.TOTL,8451840
Channel Islands,CHI,"Population, total",SP.POP.TOTL,168665
Chile,CHL,"Population, total",SP.POP.TOTL,18470439
China,CHN,"Population, total",SP.POP.TOTL,1386395000
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,24437469
Cameroon,CMR,"Population, total",SP.POP.TOTL,24566045
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,81398764
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5110702
Colombia,COL,"Population, total",SP.POP.TOTL,48901066
Comoros,COM,"Population, total",SP.POP.TOTL,813892
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,537497
Costa Rica,CRI,"Population, total",SP.POP.TOTL,4949954
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,7314990
Cuba,CUB,"Population, total",SP.POP.TOTL,11339259
Curacao,CUW,"Population, total",SP.POP.TOTL,160175
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,63382
Cyprus,CYP,"Population, total",SP.POP.TOTL,1179680
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10594438
Germany,DEU,"Population, total",SP.POP.TOTL,82657002
Djibouti,DJI,"Population, total",SP.POP.TOTL,944097
Dominica,DMA,"Population, total",SP.POP.TOTL,71458
Denmark,DNK,"Population, total",SP.POP.TOTL,5764980
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,10513131
Algeria,DZA,"Population, total",SP.POP.TOTL,41389198
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,2068142784
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,3206361023
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2314097713
Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,395289709
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,914585461
Ecuador,ECU,"Population, total",SP.POP.TOTL,16785361
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,96442593
Euro area,EMU,"Population, total",SP.POP.TOTL,341163597
Eritrea,ERI,"Population, total",SP.POP.TOTL,
Spain,ESP,"Population, total",SP.POP.TOTL,46593236
Estonia,EST,"Population, total",SP.POP.TOTL,1317384
Ethiopia,ETH,"Population, total",SP.POP.TOTL,106400024
European Union,EUU,"Population, total",SP.POP.TOTL,446131273
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,727976005
Finland,FIN,"Population, total",SP.POP.TOTL,5508214
Fiji,FJI,"Population, total",SP.POP.TOTL,877459
