Country,Code,Death_rate
Norway,NOR,9.27
Denmark,DNK,8.80
Iceland,ISL,9.61
Switzerland,CHE,9.32
Finland,FIN,12.94
Netherlands,NLD,9.17
Canada,CAN,10.91
New Zealand,NZL,11.30
Sweden,SWE,11.08
Australia,AUS,11.05
Israel,ISR,5.73
Costa Rica,CRI,7.80
Austria,AUT,11.20
United States,USA,12.84
Ireland,IRL,8.37
Germany,DEU,9.92
Belgium,BEL,14.28
Luxembourg,LUX,8.70
United Kingdom,GBR,7.36
Chile,CHL,10.14
United Arab Emirates,ARE,5.07
Brazil,BRA,6.09
Czech Republic,CZE,10.77
Argentina,ARG,10.61
Mexico,MEX,5.92
Singapore,SGP,7.33
Malta,MLT,4.53
Uruguay,URY,16.82
Guatemala,GTM,5.92
Panama,PAN,4.98
France,FRA,12.40
Thailand,THA,10.44
Taiwan Province of China,TWN,13.52
Spain,ESP,5.51
Qatar,QAT,4.64
Colombia,COL,5.53
Saudi Arabia,SAU,2.95
Trinidad and Tobago,TTO,10.12
Kuwait,KWT,2.49
Slovakia,SVK,9.47
Bahrain,BHR,4.23
Malaysia,MYS,7.85
Nicaragua,NIC,5.86
Ecuador,ECU,9.21
El Salvador,SLV,9.80
Poland,POL,13.95
Uzbekistan,UZB,9.39
Italy,ITA,4.76
Russia,RUS,25.09
Belize,BLZ,7.83
